City	Population	LGA2013	LGA2014	Difference	%Chg	LGApercapita	IncreasePercapita
Grand Marais 	1,351	$96,422	$96,422	$0	0.00%	$71.37	$0.00
Grand Meadow 	1,139	$266,391	$316,765	$50,374	18.91%	$278.11	$44.23
Grand Rapids 	10,869	$963,410	$1,270,392	$306,982	31.86%	$116.88	$28.24
Granite Falls 	2,897	$717,911	$908,038	$190,127	26.48%	$313.44	$65.63
Grant 	4,096	$0	$0	$0	0.00%	$0.00	$0.00
Grasston 	158	$15,678	$20,552	$4,874	31.09%	$130.08	$30.85
Green Isle 	559	$53,119	$79,969	$26,850	50.55%	$143.06	$48.03
Greenbush 	719	$220,770	$249,730	$28,960	13.12%	$347.33	$40.28
Greenfield 	2,777	$0	$0	$0	0.00%	$0.00	$0.00
Greenwald 	222	$27,389	$33,044	$5,655	20.65%	$148.85	$25.47
Greenwood 	688	$0	$0	$0	0.00%	$0.00	$0.00
Grey Eagle 	348	$59,124	$68,981	$9,857	16.67%	$198.22	$28.32
Grove City 	635	$156,743	$185,273	$28,530	18.20%	$291.77	$44.93
Grygla 	221	$42,945	$48,633	$5,688	13.24%	$220.06	$25.74
Gully 	66	$17,335	$17,335	$0	0.00%	$262.65	$0.00
Hackensack 	313	$0	$0	$0	0.00%	$0.00	$0.00
Hadley 	61	$15,455	$15,455	$0	0.00%	$253.36	$0.00
Hallock 	981	$375,642	$390,593	$14,951	3.98%	$398.16	$15.24
Halma 	61	$10,985	$12,433	$1,448	13.18%	$203.82	$23.74
Halstad 	597	$164,085	$182,079	$17,994	10.97%	$304.99	$30.14
Ham Lake 	15,296	$0	$0	$0	0.00%	$0.00	$0.00
Hamburg 	513	$58,777	$72,948	$14,171	24.11%	$142.20	$27.62
Hammond 	132	$42,992	$42,992	$0	0.00%	$325.70	$0.00
Hampton 	689	$88,374	$107,525	$19,151	21.67%	$156.06	$27.80
Hancock 	765	$231,189	$263,796	$32,607	14.10%	$344.83	$42.62
Hanley Falls 	304	$72,453	$82,014	$9,561	13.20%	$269.78	$31.45
Hanover 	2,938	$63,203	$100,494	$37,291	59.00%	$34.20	$12.69
Hanska 	402	$111,632	$120,338	$8,706	7.80%	$299.35	$21.66
Harding 	125	$2,049	$6,409	$4,360	212.79%	$51.27	$34.88
Hardwick 	198	$45,323	$45,899	$576	1.27%	$231.81	$2.91
Harmony 	1,020	$320,299	$339,819	$19,520	6.09%	$333.16	$19.14
Harris 	1,132	$141,539	$171,047	$29,508	20.85%	$151.10	$26.07
Hartland 	315	$48,121	$59,163	$11,042	22.95%	$187.82	$35.05
Hastings 	22,172	$0	$510,137	$510,137	0.00%	$23.01	$23.01
Hatfield 	54	$3,830	$3,830	$0	0.00%	$70.93	$0.00
Hawley 	2,067	$538,040	$600,787	$62,747	11.66%	$290.66	$30.36
Hayfield 	1,340	$352,569	$390,128	$37,559	10.65%	$291.14	$28.03
Hayward 	250	$28,981	$34,774	$5,793	19.99%	$139.10	$23.17
Hazel Run 	63	$13,871	$13,871	$0	0.00%	$220.17	$0.00
Hector 	1,151	$294,846	$338,885	$44,039	14.94%	$294.43	$38.26
Heidelberg 	122	$0	$833	$833	0.00%	$6.83	$6.83
Henderson 	886	$265,687	$287,001	$21,314	8.02%	$323.93	$24.06
Hendricks 	713	$214,826	$241,774	$26,948	12.54%	$339.09	$37.80
Hendrum 	307	$57,667	$66,944	$9,277	16.09%	$218.06	$30.22
Henning 	802	$251,273	$278,376	$27,103	10.79%	$347.10	$33.79
